,longitude,latitude,housing_median_age,total_rooms,population,households,median_income,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,median_house_value,median_house_value,median_house_value
14196,1.2725865624715638,-1.3728111990669665,0.3484902466663322,0.22256942353769993,0.7682762831665109,0.3229059086084477,-0.32619600376929286,0.0,0.0,0.0,0.0,1.0,103000.0,103000.0,103000.0
8267,0.709162124420041,-0.8766960138236605,1.618118125303759,0.34029325755313666,-0.09890134844728132,0.6720272000823102,-0.03584337669866782,0.0,0.0,0.0,0.0,1.0,382100.0,382100.0,382100.0
17445,-0.44760309352645633,-0.4601464714967377,-1.952710283364004,-0.3425969514817209,-0.44981805738633107,-0.4304610887825187,0.14470144729641415,0.0,0.0,0.0,0.0,1.0,172600.0,172600.0,172600.0
14265,1.2326981066803062,-1.382171862939483,0.5865454739108498,-0.5614897053541735,-0.007434336593493907,-0.3805866185719669,-1.0178643798132792,0.0,0.0,0.0,0.0,1.0,93400.0,93400.0,93400.0
2271,-0.10855121930075651,0.5320838989898743,1.142007670814724,-0.11956546906966305,-0.4858771678286896,-0.31496231566334615,-0.17148830990963268,0.0,1.0,0.0,0.0,0.0,96500.0,96500.0,96500.0
17848,-1.1356789559256615,0.8316251429103606,-0.6830824047265771,1.099060156480756,1.1156750301111842,0.7901509453178276,1.4399188815647979,1.0,0.0,0.0,0.0,0.0,264800.0,264800.0,264800.0
6252,0.8038972069242786,-0.7503270515447072,-0.04826846540786368,-0.4396271427991316,-0.06284223800492282,-0.2939625387325875,-0.7150133036121046,1.0,0.0,0.0,0.0,0.0,157300.0,157300.0,157300.0
9389,-1.4697447731774516,1.0609614077869802,0.6658972163256889,-0.0542655298892255,-0.37594085550442585,-0.21783834735858743,2.157529416728497,0.0,0.0,0.0,1.0,0.0,500001.0,500001.0,500001.0
6113,0.8387996057416263,-0.7082040641183873,-1.8733585409491647,-0.6971480297078995,-0.5342491452513656,-0.49608539169113947,-1.2502410075556405,1.0,0.0,0.0,0.0,0.0,139800.0,139800.0,139800.0
6061,0.8936462324546063,-0.7596877154172206,-1.8733585409491647,7.379810644694954,7.03640506664673,5.977095847215213,1.3369379624681264,1.0,0.0,0.0,0.0,0.0,315600.0,315600.0,315600.0
16030,-1.429856317386194,0.9720351009980871,1.8561733525482766,-0.7633676863415826,-0.6802445680179878,-0.8635814879794158,0.17642020055209487,0.0,0.0,0.0,1.0,0.0,231900.0,231900.0,231900.0
8364,0.6144270419158034,-0.7830893750985106,-0.2863236926523812,-0.3577722894602733,0.24937688899598612,0.19690724702389584,-0.8667276714194903,1.0,0.0,0.0,0.0,0.0,159400.0,159400.0,159400.0
9448,-0.06866276350949894,0.8503464706553906,-1.2385446016304513,-0.29569136136619534,-0.5949339896543592,-0.503960308040174,-0.5281667405596027,0.0,1.0,0.0,0.0,0.0,96000.0,96000.0,96000.0
17529,-1.145651069873474,0.7895021554840407,0.5865454739108498,-0.3393779403953613,1.8773138018936832,0.3465306576555512,-0.9366244604647068,1.0,0.0,0.0,0.0,0.0,187500.0,187500.0,187500.0
5865,0.6194130988897062,-0.6848024044371007,1.3800628980592415,-0.574365749699612,-0.6265956476037472,-0.5380849455526567,-0.5609882981503317,1.0,0.0,0.0,0.0,0.0,229900.0,229900.0,229900.0
7615,0.6742597256026862,-0.8205320305885705,0.5865454739108498,-0.02023598411913832,0.3918543497682319,0.03678394792686117,-0.3749819669721523,1.0,0.0,0.0,0.0,0.0,117700.0,117700.0,117700.0
9707,-1.0309717594736114,0.48060024769104104,1.8561733525482766,-0.13382108959496986,-0.22642747074342723,-0.16008896079900115,-0.5190292189263438,1.0,0.0,0.0,0.0,0.0,169600.0,169600.0,169600.0
16332,-0.8764039932824839,1.1171253910220735,-0.6830824047265771,0.7224358593766832,0.5668729589884597,0.5617783711958273,0.2759876776593301,0.0,1.0,0.0,0.0,0.0,130800.0,130800.0,130800.0
3449,0.5745385861245388,-0.6192777573294941,0.4278419890811714,0.006895680751606861,0.4586956276613842,0.08403344602106812,0.18498006277175663,1.0,0.0,0.0,0.0,0.0,157400.0,157400.0,157400.0
5199,0.6493294407331511,-0.8018107028435405,-0.6037306623117379,-0.8254486144356605,-0.1261655539036987,-0.5853344436468637,-1.285478231785047,1.0,0.0,0.0,0.0,0.0,94100.0,94100.0,94100.0
13496,1.1180187962804362,-0.6941630683096174,0.18978676183665386,-0.4764158409289556,-0.3319663305747204,-0.43308606089886353,-0.8860530045289117,0.0,1.0,0.0,0.0,0.0,72700.0,72700.0,72700.0
18056,-1.1955116396125514,0.747379168057724,0.5071937314960105,0.42858613306471416,-0.08922695296274612,-0.06296499249424241,2.4480921017677026,1.0,0.0,0.0,0.0,0.0,500001.0,500001.0,500001.0
9529,-1.7788803055597064,1.5430355972215128,-0.5243789198968988,-0.2202745302000562,-0.3328458210733145,-0.37271170222293243,-0.6110871236568205,1.0,0.0,0.0,0.0,0.0,95800.0,95800.0,95800.0
5128,0.6493294407331511,-0.7784090431622539,1.142007670814724,-0.6447241348729003,-0.28711231514642077,-0.49608539169113947,-1.2108551384467658,1.0,0.0,0.0,0.0,0.0,97500.0,97500.0,97500.0
18796,-1.3600515197514915,2.455700324791745,-0.8417858895562554,-0.868215476011581,-1.0373177104471965,-1.031579703425485,-0.8520236136188436,0.0,1.0,0.0,0.0,0.0,78800.0,78800.0,78800.0
413,-1.345093348829769,1.051600743914467,1.8561733525482766,-0.2630413917759766,-0.6195597236149942,-0.5092102522728637,0.8068041642626718,0.0,0.0,0.0,1.0,0.0,292000.0,292000.0,292000.0
1175,-0.9910833036823467,1.7957735217794226,-1.0798411168007729,-1.1220574931073664,-1.1270257413037956,-1.2074528352205887,-1.6046088005512231,0.0,1.0,0.0,0.0,0.0,42500.0,42500.0,42500.0
4387,0.6593015546809637,-0.7316057237996774,1.3800628980592415,-0.7803824592266262,-0.45421550987930165,-0.6509587465554845,-0.1979030994586514,1.0,0.0,0.0,0.0,0.0,187500.0,187500.0,187500.0
11628,0.7540366371852084,-0.8626550180148904,-0.5243789198968988,-0.5752854671528576,-0.5421645597387126,-0.5380849455526567,-0.0008162104378418511,1.0,0.0,0.0,0.0,0.0,218200.0,218200.0,218200.0
9787,-0.6021708597175838,0.19509999957932808,0.0310832770069755,-0.3338596356758877,-0.35835104553254366,-0.488210475342105,-0.7313453106692513,1.0,0.0,0.0,0.0,0.0,87500.0,87500.0,87500.0
15557,1.2526423345759385,-1.1809175896804067,0.26913850425149305,-0.07725846622036549,-0.17805549332075118,-0.10233957423941487,-0.6087239715102879,1.0,0.0,0.0,0.0,0.0,146300.0,146300.0,146300.0
9132,0.7839529790286462,-0.511630122795571,-2.111413768193682,0.027129464723010047,-0.051408861523199394,-0.1837137098461046,0.09990658549658714,0.0,1.0,0.0,0.0,0.0,137400.0,137400.0,137400.0
5514,0.5894967570462613,-0.773728711225994,0.8246007011553673,-0.47319682984259603,-0.2756789386646974,-0.3779616464556221,-0.5544239866321857,1.0,0.0,0.0,0.0,0.0,276700.0,276700.0,276700.0
